id,audio_filepath,reference_transcript,speaklar_prediction,titu-large_prediction,titu-fast_prediction,indic-ctc_prediction,indic-rnnt_prediction
0508ec5006,data/asr_bengali_1000_wav/0508ec5006.wav,বিপদের কথা,বিপদের কথা,বিপদের কথা,না বি প দে কথা হ, বিপদের কথা, বিপদের কথা
0509f6be93,data/asr_bengali_1000_wav/0509f6be93.wav,স্পট ফিক্সিং,স্পট ফিক্সিং,স্পট ফিক্সিং,কি স্পট ফিক্স সিিং, স্পট ফিক্সিং, স্পট ফিক্সিং
050ac1a690,data/asr_bengali_1000_wav/050ac1a690.wav,সেখানে দ্বিতীয় জানাজার পর,সেখানে দ্বিতীয় জানাজার পর,সেখানে দ্বিতীয় জানাজার পর,সে ক না দ্বিতীয় ও জানা না যাওয়ার পর, সেখানে দ্বিতীয় জানাজার পর, সেখানে দ্বিতীয় জানাজার পর
050d5e6791,data/asr_bengali_1000_wav/050d5e6791.wav,এম ইলিয়াস আলী,এম ইলিয়াস আলী,এম ইলিয়াস আলী,এম ইলিয়াস আলী, এম ইলিয়াস আলী, এম ইলিয়াস আলী
050dab9bff,data/asr_bengali_1000_wav/050dab9bff.wav,সাধে কি আর হিন্দুস্থানে,সাথে কি আর হিন্দুস্তানে,সাদে কি আর হিন্দুস্থানে,সাথোদে কি আর হিন্দু স্থানে, সাদে কি আর হিন্দুস্তানে, সাদে কি আর হিন্দুস্তানে
050dcdce1b,data/asr_bengali_1000_wav/050dcdce1b.wav,ইদি আমিনের সৈন্যদের,ইদি আমিনের সৈন্যদের,ইদি আমিনের সৈন্যদের,না হ না না ই দি আমি ম এর আর সইন ন দে আর, ঈদি আমিনের সৈন্যদের, ঈদি আমিনের সৈন্যদের
050ea4328a,data/asr_bengali_1000_wav/050ea4328a.wav,গতকাল বুধবার মধ্যরাতে,গতকাল বুধবার মধ্যরাতে,গতকাল বুধবার মধ্যরাতে,হ না ও গত ক বুধ বার মধ্য রাতে, গতকাল বুধবার মধ্যরাাতে, গতকাল বুধবার মধ্যরাতে
051116f515,data/asr_bengali_1000_wav/051116f515.wav,ধ্বংসস্তূপ থেকে আবারও,ধ্বংসস্তূপ থেকে আবারও,ধ্বংসস্তূপ থেকে আবারও,ধ্বংস সু স্তূপ থেকে কে আবার ও, ধ্বংসস্তূপ থেকে আবারও, ধ্বংসস্তূপ থেকে আবারও
051123c0fe,data/asr_bengali_1000_wav/051123c0fe.wav,সেই সর্বনাশা মোহনার দিকে,সেই সর্বনাশা মোহনার দিকে,সেই সর্বনাশা মোহনার দিকে,সেই সর্বনাশা মোহন আর দিকে, সেই সর্বনাশা মোহন আদিকে, সেই সর্বনাশা মোহন আরদিকে
05116a2c87,data/asr_bengali_1000_wav/05116a2c87.wav,এই সময়টাকে,এই সময়টাকে,এই সময়টাকে,না হ আছে না এই সময়  কে, এই সময়টাকে, এই সময়টাকে
0511fe96d2,data/asr_bengali_1000_wav/0511fe96d2.wav,কোরআন তেলাওয়াত করা হবে,কোরআন তেলাওয়াত করা হবে,কোরআন তেলাওয়াত করা হবে,কো আন তেলওয়য়াত করা হবে, কোরআন তেলোয়াত করা হবে, কোরআন তেলোয়াত করা হবে
05120cebc3,data/asr_bengali_1000_wav/05120cebc3.wav,শিল্পোদ্যোক্তাদের মাথায় হাত,শিল্পোদ্যোক্তাদের মাথায় হাত,শিল্পোদ্যোক্তাদের মাথায় হাত,শিল প দ তা দে মা হায় হাত, শিল্পোদ্যোক্তাদের মাথায় হাত, শিল্পোদ্যোক্তাদের মাথায় হাত
0513d34fdf,data/asr_bengali_1000_wav/0513d34fdf.wav,সংশোধিত আইনে রায়ের বিরুদ্ধে,সংশোধিত আইনের রায়ের বিরুদ্ধে,সংশোধিত আইনের রায়ের বিরুদ্ধে,না না না না আর শ শুধু দি তো আইনের রায় এর বিরুদ্ধে, সংশোধিত আইনের রায়ের বিরুদ্ধে, সংশোধিত আইনের রায়ের বিরুদ্ধে
05188d9661,data/asr_bengali_1000_wav/05188d9661.wav,আন্তর্জাতিক অলিম্পিক কমিটি,আন্তর্জাতিক অলিম্পিক কমিটি,আন্তর্জাতিক অলিম্পিক কমিটি,আন্তর্জাতিক অলিম্পিক কমিটি, আন্তর্জাতিক অলিম্পিক কমিটি, আন্তর্জাতিক অলিম্পিক কমিটি
05196bd95a,data/asr_bengali_1000_wav/05196bd95a.wav,তন্ত্র মন্ত্র,তন্ত্র মন্ত্র,তন্ত্র মন্ত্র,হ হ তো অ তো ও ম তো, তন্ত্র মন্ত্র, তন্ত্র মন্ত্র
0519c1e2ac,data/asr_bengali_1000_wav/0519c1e2ac.wav,কলকাতার ওয়েস্ট বেঙ্গলের,কলকাতার ওয়েস্ট বেঙ্গলের,কলকাতার ওয়েস্ট বেঙ্গলের,কল ক তার ওয়েস্ট ব্যাঙ্গক গোলের, কলকাতার ওয়েস্ট বেঙ্গলের, কলকাতার ওয়েস্ট বেঙ্গলের
051a34f4ac,data/asr_bengali_1000_wav/051a34f4ac.wav,বিপুল লোক হতাহত হয়,বিপুল লোক হতাহত হয়,বিপুল লোক হতাহত হয়,বিপুল লোক হতা হতো হয়, বিপুল লোক হতাহত হয়, বিপুল লোক হতাহত হয়
051aef6e2a,data/asr_bengali_1000_wav/051aef6e2a.wav,যেন লাগাতার ইলেকট্রিক শক লাগছে,যেন লাগাতার ইলেকট্রিক শক লাগাচ্ছে,যেন লাগাতার ইলেকট্রিক শক লাগাচ্ছে,যেন লাগা তার ইলেকট্রিক শক লাগাচ্ছে, যেন লাগাতার ইলেকট্রিক শক লাগাচ্ছে, যেন লাগাতার ইলেকট্রিক শক লাগাচ্ছে
051ba641c6,data/asr_bengali_1000_wav/051ba641c6.wav,হতাশার বিষয় হচ্ছে,হতাশার বিষয় হচ্ছে,হতাশার বিষয় হচ্ছে,হতাশ আর বিষয় হচ্ছে, হতাশার বিষয় হচ্ছে, হতাশার বিষয় হচ্ছে
051c9d135f,data/asr_bengali_1000_wav/051c9d135f.wav,জনি আর সাইদুলকে,জনি আর সাইদুলকে,জনি আর সাইদুলকে,জ জ ই আর আই ডুল কে, জনি আর সায়দুলকে, জনি আর সাইদুলকে
051e3b67ef,data/asr_bengali_1000_wav/051e3b67ef.wav,সময়ের খবর,সময়ের খবর,সময়ের খবর,না আর সময় আর খবর, সময়ের খবর, সময়ের খবর
051f1a3a86,data/asr_bengali_1000_wav/051f1a3a86.wav,যা আঙ্গুলের উপরিভাগে,যা আঙগুলের উপরিভাগে,যা আঙুলের উপরিভাগে,হ আছে না যা আ গুলের ও উপই ভ গে, যা আঙ্গুলের উপরই ভাগে, যা আঙ্গুলের উপরই ভাগে
05210778c6,data/asr_bengali_1000_wav/05210778c6.wav,গ্রেফতার করছে না,গ্রেফতার করছে না,গ্রেফতার করছে না,না গ্রেফ আর করছে না, গ্রেফতার করছে না, গ্রেফতার করছে না
05213fce42,data/asr_bengali_1000_wav/05213fce42.wav,যুদ্ধাপরাধের মামলায় গ্রেপ্তার,যুদ্ধাপরাধের মামলায় গ্রেপ্তার,যুদ্ধাপরাধের মামলায় গ্রেপ্তার,য দ পুর আর দে মামলায় গ্রেফ তার আর, যুদ্ধপরধের মামলায় গ্রেপ্তার, যুদ্ধপ্রধের মামলায় গ্রেপ্তার
0523be7926,data/asr_bengali_1000_wav/0523be7926.wav,বেশ কয়েকটি টেলিফিল্ম,বেশ কয়েকটি টেলিফিল্ম,বেশ কয়েকটি টেলিফিল্ম,বেশ কয়েকটি ডেলে ফিল্ম, বেশ কয়েকটি ডেলি ফিল্ম, বেশ কয়েকটি ডেইলি ফিল্ম
0525cf0928,data/asr_bengali_1000_wav/0525cf0928.wav,হাত দিয়ে বুঝল,হাত দিয়ে বুঝল,হাত দিয়ে বুঝল,হাত দিয়ে বুঝ ল, হাত দিয়ে বুঝলো, হাত দিয়ে বুঝল
0526848360,data/asr_bengali_1000_wav/0526848360.wav,এমন সংকটে পড়েছেন,এমন সংকটে পড়েছেন,এমন সংকটে পড়েছেন,এমন সংকটে পড়েছেন, এমন সংকটে পড়েছেন, এমন সংকটে পড়েছেন
0526cb78d2,data/asr_bengali_1000_wav/0526cb78d2.wav,ক্ষতিপূরণের দাবিতে ছিল,ক্ষতিপূরণের দাবিতে ছিল,ক্ষতিপূরণের দাবিতে ছিল,ক্ষতি পূরণের দাবিতে ছিল, ক্ষতিপূরণের দাবিতে ছিল, ক্ষতিপূরণের দাবিতে ছিল
05281a031f,data/asr_bengali_1000_wav/05281a031f.wav,যাহা ছিল তাহাই আছে,যাহা ছিল তাহাই আছে,যাহা ছিল তাহাই আছে,যা হ ছিল তা হাই আছে, যাহা ছিল তাহাই আছে, যাহা ছিল তাহাই আছে
052a9e5d4c,data/asr_bengali_1000_wav/052a9e5d4c.wav,দাবি জানিয়েছেন বিজেপি সভাপতি,দাবি জানিয়েছেন বিজেপি সভাপতি,দাবি জানিয়েছেন বিজেপি সভাপতি,দাবি জানিয়েছেন বিজেপি সভাপতি, দাবি জানিয়েছেন বিজেপি সভাপতি, দাবি জানিয়েছেন বিজেপি সভাপতি
052b35f286,data/asr_bengali_1000_wav/052b35f286.wav,এইরূপ প্রবাদ রটাইয়াছে,এইরূপ প্রবাদ  রটাইয়াছে,এইরূপ প্রবাদ  রটাইয়াছে,এই রূপ প্রবাদ লটাই আছে, এইরূপ প্রবাদ রটাই আছে, এইরূপ প্রবাদ রটাইয়াছে
052b8930ba,data/asr_bengali_1000_wav/052b8930ba.wav,ও শিক্ষকরাও রয়েছেন,ও শিক্ষকরাও রয়েছেন,ও শিক্ষকরাও রয়েছেন,ও শিক্ষক রাও রয়েছেন, ও শিক্ষকরাও রয়েছেন, ও শিক্ষকরাও রয়েছেন
052bdcebfb,data/asr_bengali_1000_wav/052bdcebfb.wav,দেড় মণ জিনিষ নিতে পারবো,দেড় মণ জিনিস নিতে পারব,দেড় মণ জিনিস নিতে পারব,দেড় মন জিনিস নিতে পার বো, দেরমন জিনিস নিতে পারব, দেরমন জিনিস নিতে পারব
052e90fb4a,data/asr_bengali_1000_wav/052e90fb4a.wav,যা ইচ্ছে খাবে ফুঁকবে,যা ইচ্ছে খাবে ফুঁকবে,যা ইচ্ছে খাবে ফুঁকবে,যা ইচ্ছে খ বে ফোক বে, যা ইচ্ছে খাবে ফুকবে, যা ইচ্ছে খাবে ফুকবে
052fb76409,data/asr_bengali_1000_wav/052fb76409.wav,এদেরকে বলে রেডিও আইসোটোপ,এদেরকে বলে রেডিও আইসোটপ,এদেরকে বলে রেডিও আইসোটপ,না আ না এদের কে বলে আর রেডি ও আই সো টপ আ আছে, এদেরকে বলে রেডিও আইসোটপ, এদেরকে বলে রেডিও আইসোটপ
05319108ca,data/asr_bengali_1000_wav/05319108ca.wav,বাংলাদেশ তাদের সাথে,বাংলাদেশ তাদের সাথে,বাংলাদেশ তাদের সাথে,না হ না বা না দেশ তা দে সাথে আছে না না না, বাংলাদেশ তাদের সাথে, বাংলাদেশ তাদের সাথে
0531da8882,data/asr_bengali_1000_wav/0531da8882.wav,পরিমাণের অতিরিক্ত কিছু,পরিমাণের অতিরিক্ত কিছু,পরিমাণের অতিরিক্ত কিছু,না আর পি মের ও ত রি তো কি ছ, পরিমাণের অতিরিক্ত কিছু, পরিমাণের অতিরিক্ত কিছু
0531fe0a7b,data/asr_bengali_1000_wav/0531fe0a7b.wav,ও আলোচনা সভা,ও আলোচনা সভা,ও আলোচনা সভা,ও আলোচনা সভা, ও আলোচনা সভা, ও আলোচনা সভা
053209cac0,data/asr_bengali_1000_wav/053209cac0.wav,কোরআন শরিফ পোড়ানোর প্রসঙ্গ,কোরান শরীফ পোড়ানোর প্রসঙ্গ,কোরন শরীফ পোড়ানোর প্রসঙ্গ,কি কোর রান শি পুরা নর ও শ গো, কোরআন শরিফ পোুরানোর প্রসঙ্গ, কোরআন শরিফ পুরানোর প্রসঙ্গ
053372bcbb,data/asr_bengali_1000_wav/053372bcbb.wav,তাকে আদালতে,তাকে আদালতে,তাকে আদালতে,তাকে কে আর আদাল হতে ত, তাকে আদালতে, তাকে আদালতে
05341d9d4a,data/asr_bengali_1000_wav/05341d9d4a.wav,পৃথিবীর সবচেয়ে সুন্দর,পৃথিবীর সবচেয়ে সুন্দর,পৃথিবীর সবচেয়ে সুন্দর,হ হ হ পৃথিবীর সব চেয়ে সুন্দ দর আর, পৃথিবীর সবচেয়ে সুন্দর, পৃথিবীর সবচেয়ে সুন্দর
0534540c11,data/asr_bengali_1000_wav/0534540c11.wav,ক্রিকেট ভাষ্যকার,ক্রিকেট ভাষ্যকার,ক্রিকেট ভাষ্যকার,কিি কেট ভাস শো কার, ক্রিকেট ভাস্যকার, ক্রিকেট ভাস্যকার
05350dd63a,data/asr_bengali_1000_wav/05350dd63a.wav,মিরপুর১ নম্বর,মিরপুর এক নম্বর,মিরপুর এক নম্বর,মিরপুর এক নম্বরার, মিরপুর এক নম্বর, মিরপুর এক নম্বর
053569765b,data/asr_bengali_1000_wav/053569765b.wav,ছাপা হতো,ছাপা হত,ছাপা হতো,না ছা পা হতো, ছাপা হতো, ছাপা হত
0536cb050f,data/asr_bengali_1000_wav/0536cb050f.wav,আলতাফ চৌধুরী,আলতাফ চৌধুরী,আলতাফ চৌধুরী,আল তাফ চৌধুরী, আলতাফ চৌধুরী, আলতাফ চৌধুরী
0537791612,data/asr_bengali_1000_wav/0537791612.wav,বক্সের বাইরে এসে,বক্সের বাইরে এসে,বক্সের বাইরে এসে,বক্সের বাইরে এসে, বক্স এর বাইরে এসে, বক্স এর বাইরে এসে
0537a061f4,data/asr_bengali_1000_wav/0537a061f4.wav,অভিনয়ের সুযোগ পেলে,অভিনয়ের সুযোগ পেলে,অভিনয়ের সুযোগ পেলে,ওিন নয় আর সুযোগ পেলে, অভিনয়ের সুযোগ পেলে, অভিনয়ের সুযোগ পেলে
0537cd81f4,data/asr_bengali_1000_wav/0537cd81f4.wav,খেলার খবর,খেলার খবর,খেলার খবর,না হ না না খ আর খবর, খেলার খবর, খেলার খবর
0538abe235,data/asr_bengali_1000_wav/0538abe235.wav,বোকা,বোকা,বোকা,না না না ও বোক কার না হ, বোকা, বোকা
0538d03622,data/asr_bengali_1000_wav/0538d03622.wav,উন্নত ভবিষ্যৎ,উন্নত ভবিষ্যত,উন্নত ভবিষ্যৎ,ও না তো ভবি শোজ, উন্নত ভবিষ্যৎ, উন্নত ভবিষ্যৎ
053930b89f,data/asr_bengali_1000_wav/053930b89f.wav,সরকার ১৯৯৭এর,সরকার উাজনিশশ সাতানব্বই এর,সরকার এক হাজার নয় শো সাতানব্বই এর,সরকার অনুষ সে সাতানব্বই, সরকার ১৯৯৭ানবই এর, সরকার ১৯৯৭
05396b6a7b,data/asr_bengali_1000_wav/05396b6a7b.wav,শিক্ষার্থীরা পরীক্ষা দেবে,শিক্ষার্থীরা পরীক্ষা দেবে,শিক্ষার্থীরা পরীক্ষা দেবে,শিক্ষার্থীার্থীরা পরীক্ষা দেবে, শিক্ষার্থীরা পরীক্ষা দেবে, শিক্ষার্থীরা পরীক্ষা দেবে
0539ea0a88,data/asr_bengali_1000_wav/0539ea0a88.wav,জায়েজ করেছেন,জায়েজ করেছেন,জায়েজ করেছেন,না না যা এস করে সে, জায়েেজ করেছেন, জাহেজ করেছেন
053a03039f,data/asr_bengali_1000_wav/053a03039f.wav,গ্রেপ্তার এড়াতে,গ্রেফতার এড়াতে,গ্রেপ্তার এড়াতে,না গ্রেফ আর এ রা ত, গ্রেফতার এড়াতে, গ্রেফতার এড়াতে
053a54422d,data/asr_bengali_1000_wav/053a54422d.wav,থানা পুলিশের পৃথক অভিযানে,থানা পুলিশের পৃথক অভিযানে,থানা পুলিশের পৃথক অভিযানে,থানা পুলিশের পৃথক অভিযানে, থানা পুলিশের পৃথক অভিযানে, থানা পুলিশের পৃথক অভিযানে
053b6d3a3b,data/asr_bengali_1000_wav/053b6d3a3b.wav,কাজ হাতিয়ে নেওয়াই,কাজ হাতিয়ে নেওয়ায়ই,কাজ হাতিয়ে নেওয়ায়,কাজ হাতিয়ে এ নেওয়াাই, কাজ হাতিয়ে নেওয়াই, কাজ হাতিয়ে নেওয়াই
053d4cef95,data/asr_bengali_1000_wav/053d4cef95.wav,ফুটবল বিশ্বকাপের মধ্যে,ফুটবল বিশ্বকাপের মধ্যে,ফুটবল বিশ্বকাপের মধ্যে,ফুটবল বিশ্বকাপের মধ্যে, ফুটবল বিশ্বকাপের মধ্যে, ফুটবল বিশ্বকাপের মধ্যে
053df6766d,data/asr_bengali_1000_wav/053df6766d.wav,ভর্তি হন অজিত রায়,ভর্তি হন অজিত রায়,ভর্তি হন অজিত রায়,হ ভোর টি হন অ জিত র আই, ভর্তি হন অজিিত রায়, ভর্তি হন অজিত রায়
053f5831b7,data/asr_bengali_1000_wav/053f5831b7.wav,ভাষণ দেন,ভাষণ দেন,ভাষণ দেন,না না না না আর সন দেনান না, ভাসন দেন, ভাসন দেন
053fc4585c,data/asr_bengali_1000_wav/053fc4585c.wav,স্বাগত জানিয়ে তিনি বলেছেন,স্বাগত জানিয়ে তিনি বলেছেন,স্বাগত জানিয়ে তিনি বলেছেন,আর সাাগ তো যা নিয়ে তিনি ই বলেছেন, স্বাগত জানিয়ে তিনি বলেছেন, স্বাগত জানিয়ে তিনি বলেছেন
054082c71e,data/asr_bengali_1000_wav/054082c71e.wav,মন্ত্রী জানান,মন্ত্রী জানান,মন্ত্রী জানান,হ ম থ্রি যা না না, মন্ত্রী জানান, মন্ত্রী জানান
0540d2d57a,data/asr_bengali_1000_wav/0540d2d57a.wav,বিভিন্ন উৎসেচকের,বিভিন্ন উৎসেচকের,বিভিন্ন উৎসেচকের,ডি ভ ন সে চোখের, বিভিন্ন ছে চকের, বিভিন্ন ছেচকের
05413b16b0,data/asr_bengali_1000_wav/05413b16b0.wav,অবস্থানরত করতে না পারে,অবস্থানরত করতে না পারে,অবস্থানরত করতে না পারে,না না আছে না আছে না না না না অব তা আর না তো করতে না পারে না আর, অবস্থানরত করতে না পারে, অবস্থানরত করতে না পারে
0541a92d12,data/asr_bengali_1000_wav/0541a92d12.wav,অবমুক্ত করার মাধ্যমে,অবমুক্ত করার মাধ্যমে,অবমুক্ত করার মাধ্যমে,অববম মু তো করার মাধ্যমে, অবমুক্ত করার মাধ্যমে, অবমুক্ত করার মাধ্যমে
054315f2ba,data/asr_bengali_1000_wav/054315f2ba.wav,অজ্ঞ অশিক্ষিত লোকেরা,অজ্ঞ অশিক্ষিত লোকেরা,অজ্ঞ অশিক্ষিত লোকেরা,অ গো অ শিক্ষ কিি তো ল এ না, অজ্ঞ অশিক্ষিত লোকেরা, অজ্ঞ অশিক্ষিত লোকেরা
0543fea508,data/asr_bengali_1000_wav/0543fea508.wav,রেস্তোরাতে গিয়ে,রেস্তোরাঁতে গিয়ে,রেস্তোরাতে গিয়ে,রেস তো রা তে গিয়ে, রেস্তোরাঁতে গিয়ে, রেস্তোরাঁতে গিয়ে
0545802269,data/asr_bengali_1000_wav/0545802269.wav,পরিষ্কার করার কাজ,পরিষ্কার করার কাজ,পরিষ্কার করার কাজ,পরিষ্কার করার কাজ, পরিষ্কার করার কাজ, পরিষ্কার করার কাজ
0545c801db,data/asr_bengali_1000_wav/0545c801db.wav,এই মাস আলাদা মর্যাদা,এই মাস আলাদা মর্যাদা,এই মাস আলাদা মর্যাদা,এই মাস আলাদা মর্যাদা, এই মাস আলাদা মর্যাদা, এই মাস আলাদা মর্যাদা
05486de93a,data/asr_bengali_1000_wav/05486de93a.wav,তিন সন্তানের এই জননী,তিন সন্তানের এই জননী,তিন সন্তানের এই জননী,হ না তিন সন্তান নে এই জন নেই, তিন সন্তানের এই জননী, তিন সন্তানের এই জননী
054bc4497a,data/asr_bengali_1000_wav/054bc4497a.wav,পিছিয়ে দেয়া যায়,পিছিয়ে দেওয়া যায়,পিছিয়ে দেওয়া যায়,পিছিয়ে দেওয়া যায়, পিছিয়ে দেওয়া যায়, পিছিয়ে দেওয়া যায়
054c683186,data/asr_bengali_1000_wav/054c683186.wav,তুলনায় আর্দ্রতা,তুলনায় আর্দ্রতা,তুলনায় আর্দ্রতা,না না আছে না না তুুল ও না আর দো তা হ হ আছে আছে না, তুলনায় আর্দ্রতা, তুলনায় আর্দ্রতা
054d6b8804,data/asr_bengali_1000_wav/054d6b8804.wav,বাড়িটায় যেন,বাড়িটাই যেন,বাড়িটা যেন,দেওয়া বাড়ি টাই যেন, বাড়িটাই যেন, বাড়িটাই যেন
054db2b4ac,data/asr_bengali_1000_wav/054db2b4ac.wav,যদিও এ ধরনের ঘটনা,যদিও এ ধরনের ঘটনা,যদিও এ ধরনের ঘটনা,যদিও এ ধরনের ঘটনা না, যদিও এ ধরনের ঘটনা, যদিও এ ধরনের ঘটনা
054e279926,data/asr_bengali_1000_wav/054e279926.wav,গণমাধ্যমের গাড়িতেও,গণমাধ্যমের গাড়িতেও,গণমাধ্যমের গাড়িতেও,গাড়ি তো হ্যাঁ গণ মাধ্যমের গাড়ি তো, গাড়িতে হ্যাঁ গণমাধ্যমের গাড়িতেও, গাড়িতেও হ্যাঁ গণমাধ্যমের গাড়িতেও
054e8cbc5c,data/asr_bengali_1000_wav/054e8cbc5c.wav,কতকগুলি ছোট ছোট ছেলে আসিয়া,কতকগুলি ছোট ছোট ছেলে আসিয়া,কতকগুলি ছোট ছোট ছেলে আসিয়া,কতগুলি ছোট ছোট ছেলে আসি না, কতকগুলি ছোট ছোট ছেলে আসিয়া, কতকগুলি ছোট ছোট ছেলে আসিয়া
054f400909,data/asr_bengali_1000_wav/054f400909.wav,এ হামলায়,এ হামলায়,এ হামলায়,না না এ হ লাাই, এ হামলায়, এ হামলায়
0550ae5ff0,data/asr_bengali_1000_wav/0550ae5ff0.wav,এক সিপাই জিগায়,এক সিপাই জিগায়,এক সিপাইজিগায়,এক সি পাই জি গায়ে, এক সিপাহী জি গায়, এক সিপাহী জি গায়
05515f0bef,data/asr_bengali_1000_wav/05515f0bef.wav,শুধু রাজার চাকরী ছাড়া,শুধু রাজার চাকরি ছাড়া,শুধু রাজার চাকরী ছাড়া,শুধু রাজ আর চাকরি ছাড়া, শুধু রাজার চাকরি ছাড়া, শুধু রাজার চাকরি ছাড়া
05516c9693,data/asr_bengali_1000_wav/05516c9693.wav,আমি যে লক্ষ্মী মেয়ে,আমি যে লক্ষ্মী মেয়ে,আমি যে লক্ষ্মী মেয়ে,আমি যে লক্ষ্যে মেয়ে, আমি যে লক্ষ্মী মেয়ে, আমি যে লক্ষ্মী মেয়ে
0551eb4009,data/asr_bengali_1000_wav/0551eb4009.wav,রাজপুত্র নাড়িয়া চাড়িয়া,রাজপুত্র নাড়িয়া চাড়িয়া,রাজপুত্র নাড়িয়া চাড়িয়া,রাজছ পড় তো না ই আ চারিিয়া, রাজপুত্র নারিয়া চারিয়া, রাজপুত্র নারিয়াচারিয়া
0551f0a67e,data/asr_bengali_1000_wav/0551f0a67e.wav,অপরের বিরুদ্ধে নানা অভিযোগ আনে,অপরের বিরুদ্ধে নানা অভিযোগ আনে,অপরের বিরুদ্ধে নানা অভিযোগ আনে,অপরের বিরুদ্ধে নানা অভিযোগ আনে, অপরের বিরুদ্ধে নানা অভিযোগ আনে, অপরের বিরুদ্ধে নানা অভিযোগ আনে
05531db160,data/asr_bengali_1000_wav/05531db160.wav,পাঁচটি পর্যায়ে বিভক্ত,পাঁচটি পর্যায়ে বিভক্ত,পাঁচটি পর্যায়ে বিভক্ত,পাঁচ টি পর্যায়ে বিভ ভক্ত তো, পাঁচটি পর্যায়ে বিভক্ত, পাঁচটি পর্যায়ে বিভক্ত
05539532af,data/asr_bengali_1000_wav/05539532af.wav,যতই বুজুর্গ হন,যতই বুচর্গ হন,যতই বচুর্গ হন,না না না না যা তোই ব চোর গো হ না হ আছে না, যতই বুচুর্গ হন, যতই বুজর্গ হন
0553ed71ed,data/asr_bengali_1000_wav/0553ed71ed.wav,তবে কাজালের মা মানাল জানান,তবে কাজালের না মানাল জানান,তবে কাজালের মা মানাল জানান,না না তবে কাজ আরালের না মা না যা না না, তবে কাজালের মা মানাল জানান, তবে কাজালের মা মানাল জানান
05542b7b24,data/asr_bengali_1000_wav/05542b7b24.wav,বাংলা নববর্ষ গণনা শুরু করেন,বাংলা নববর্ষ গণনা শুরু করেন,বাংলা নববর্ষ গণনা শুরু করেন,বাংলা নববর্ষ গণনা শুরু করেন, বাংলা নববর্ষক গণনা শুরু করেন, বাংলা নববর্ষক গণনা শুরু করেন
05552fdf16,data/asr_bengali_1000_wav/05552fdf16.wav,রাত তিনটার দিকে,রাত তিন টার দিকে,রাত তিন টার দিকে,রাত তিনটার দিকে, রাত তিনটার দিকে, রাত তিনটার দিকে
